tweet text,location
"Ted Cruz Tries To Claim JFK's Legacy, Kennedy Relatives Call Him On His Bullsh*t (VIDEO) https://t.co/UDV1vJnSQ4",PA
"RT @KazmierskiR: #BoycottGlennBeck and #Boycottmarklevinshow, too!! https://t.co/4DBwXSYMs5",FL
RT @DavidIRamadan: Donald Trump a Typical New York City Liberal Then and Now https://t.co/dJBKBpxDWj,VA
RT @amrightnow: Trump About You Watch #tcot #pjnet #1A #2A #Trump #trump2016  #realdonaldtrump https://t.co/j58e8aacrE https://t.co/OWifQ0K…,CA
"RT @Skitchen333: Donald Trump: I could stand in the middle of 5th avenue and shoot somebody and I wouldnt lose any voters.

THIS MAN IS RUN…",MI
"Radio ads slam Trump: He is Clinton's ""old pal"" https://t.co/VFNjgBmiJS https://t.co/PdeZmFHpvs",WA
@ObstinatePoet @TWSnyderman What if you're an @IvankaTrump supporter. I like her... because reasons. 😬 https://t.co/oPkHmUKKkz,NY
https://t.co/WeEEvg4cTs RT nbcchicago: Trump: My supporters would stick with me even if I shot someone … https://t.co/YYV2DFUqVW,WA
"RT @nycjim: So bizarre: Donald Trump tells Iowans he could ""shoot somebody"" on Fifth Avenue without losing a vote. https://t.co/KJVzZfK3Vd …",IN
RT @MikeandAnnmarie: Should NOT ever be allowed! BOYCOTT the debate @realDonaldTrump - DEMAND she does not participate TRUMP voters. RT~M h…,NC
If Trump told me he ate kittens for breakfast. I will run to the nearest restaurant that is serving kittens.  https://t.co/5iJBGk6kHz,AK
RT @risetoflyy: CRUZ IS A FRAUD. PLS RT! IF YOU KNOW ANYONE IN MEDIA FOR TRUMP PLS GET THIS WELL RESEARCHED FACTUAL STORY TO THEM.  https:/…,CA
@CNNSitRoom true. Trump can't seem to lose. I believe this is good for dems. BUT what if he wins he'll put boots against ISIS.,NY
"RT @realDonaldTrump: A wonderful story on Iowa voters by @arappeport of the @NYTimes. 
https://t.co/fGVQsMbRKj",NJ
"RT @brianefallon: A reminder this man is spending taxpayer money to go after Clinton, in an election year, from his Senate perch https://t.…",CO
@realDonaldTrump SHAME ON YOU &amp; your CLAN! U just shot YOURSELF in the foot! #PrideComesBeforeTheFall  @CNNPolitics https://t.co/EYK9cc9p0V,CA
Trump cannot come clean on this documentary at all;https://t.co/oQYHdzl0ca,NC
RT @RSBNetwork: @bcooke7412 @realDonaldTrump He's late,NV
"RT @abby_owens14: Donald Trump is trash, pass it on!!",OH
RT @ZaackHunt: Not the least bit shocking Trump said this. What is shocking is his 42% support among evangelicals (NYT poll) https://t.co/Q…,TX
"Even if I was considering voting for @realDonaldTrump after having to wait this long for him to show up to his own event, not a chance.",IA
"RT @kkondik: What the hell is going on, seriously? https://t.co/GPRIX36c6B",UT
"RT @BillKristol: Excellent from @secupp: ""The Sarah Palin I knew in 2008...would have seen through Trump’s charlatan candidacy.""
https://t.…",UT
"RT @blogdiva: FASCISM, American-style
that's what #MakeAmericaGreatAgain means to Trump: getting away with murder h/t @erichoteham
https://…",CA
MT @JosephEach: @tedcruz has very often done things alone. Now millions stand by his side. https://t.co/j0L7CpKNC8 #CruzCrew #PJNET,WA
"YES‼️ Ted Cruz is a natural born Citizen 

https://t.co/YDKKvNZI5M 

@tedcruz #tcot #Trump https://t.co/fUqluYWbSv",CA
RT @RedState: Trump Wins If The Anti-Gun Nanny Stater Bloomberg Runs https://t.co/ERSsvzOcs1,CT
"Like Trump he can't be bought, unlike Trump he isn't crazy https://t.co/Dcer7WT6Th",OH
"RT @patriotmom61: Wow, @tedcruz ad on #FITN townhall on @cspan is a total rip off from Rick Santorum at early #GOPDebate https://t.co/s45k1…",IL
@SenFrankNiceley @abc13houston @realDonaldTrump perfect.,OK
hmmm lawyer David Limbaugh bashing Trump in order to support another lawyer Ted Cruz. Go figure https://t.co/DrVUNFDCn7,UT
The Greater Bluffton Republican Club is on facebook too. Check us out here: https://t.co/PIN0vrIVgc,SC
RT @politico: Glenn Beck endorses Ted Cruz https://t.co/a7likUmPAc | Getty https://t.co/LWruYJ7Ifm,MN
@gbmarcus @Pelhamyrd_Sunny @HillaryClinton @POTUS corporation. Does ' Goldman Sachs CEO is a supporter a Democrat or Republican.,NY
@gbmarcus @Pelhamyrd_Sunny @HillaryClinton @POTUS corporation. Does ' Goldman Sachs CEO is a supporter a Democrat or Republican.,NY
"I continue to believe a clear Trump win in IA dooms Cruz, his folks should be worried about Grassley right now",FL
"RT @glennbeck: It's amazing how much time this presidential candidate is spending on someone who is so ""irrelevant"" cc @realDonaldTrump",OH
"RT @TeamTedCruz: .@glennbeck stumping with @tedcruz in Iowa: ""We need a president who is a servant of the Constitution.” #IACaucus #CruzinT…",IN
"RT @SamanthaJoRoth: .@ChuckGrassley - ""We need a new commander-in-chief and that's obviously not @HillaryClinton."" #IACaucus",LA
RT @witchhoe: #marchforbernie even in the rain! #pdxforbernie @berniesanders https://t.co/exjYIMVydz,VA
The arrogant Trump could be in BIG trouble if former Mayor Bloomberg runs as an Independent for President! A crushing blow to that loudmouth,IL
Wait I thought only our Vermont @BernieSanders office would ever look like this https://t.co/KLJsaGc1xF,WA
"RT @WordSmithGuy: “I could stand in the middle of 5th Ave &amp; shoot somebody, &amp; I would not lose any votes"" ~ Donald Trump He said that😳 http…",TN
@tompkoch up like trump,MN
".Ted Cruz will #MakeDCListen 
https://t.co/WUZRRxdyI7
 https://t.co/fOZe6CMWJa",TX
Donald Trump more like Donald Chump,OH
RT @mindbodygreen: Get @HillaryClinton's immunity-boosting routine https://t.co/C1LRtOmwpv,WA
"RT @jimgeraghty: ""Ted Cruz: The conservative leader who WON'T go on a shooting spree on 5th Avenue."" https://t.co/VQeclEosqQ",TX
RT @Dad_Trump: RT if you agree that @megynkelly is way too prejudiced to fairly moderate the upcoming debate! Let's ROLL people! https://t.…,NJ
RT @gqforbes: TO ALL 4.9 MILLION MEMBERS of THE FORBES GROUP—pls CANCEL your @NRO subscriptions &amp; unfollow them on Twitter ASAP @realDonald…,CA
He actually might be right.No sane or educated person would vote for a shooter.I'd be surprised if they support him https://t.co/eHOVmOWtKy?,MA
"#CIA #HillaryClinton #Libya #Benghazi w/ #13Hours Mitchell Zuckoff TheHallicJShow https://t.co/4qXV2EFWtT 
 @Justin48170324 @LeoDLop3",WA
A Cruz two-fer ... he'd be the first Hispanic president and the first Canadian president. https://t.co/t17E8GR4kz,WA
Trump is gross. https://t.co/KVGVG5QlQH,CA
"RT @scooterpie55: Ironic that the Obamas are a postcard picture of the GOP's ""traditional family values"" and Sarah Palin's family is an epi…",PA
#SUV drivers giving me another reason to dislike them: Blocking snow plows by cruising around for fun. All #Trump voters #snowmaggedon2016,WA
RT @GrassrootPantry: I agree challenging Cruz's eligibility. Cruz accused Obama on same matter. So much for his Constitutional integrity. h…,NV
RT @GUSTHEREALEST: Just a friendly reminder that Donald Trump is a racist and shouldn't be a legitimate candidate to run for president http…,CO
RT @TheTweetOfGod: If it’s Trump/Palin I’m coming down there.,NC
"RT @TXTeaPartyMOM: Did you know...
Bob Dole opposed Ronald Reagan in 1980 and called him a fringe candidate
Sound familiar?  @tedcruz #Cruz…",NV
RT @marclamonthill: WHEW!!! I was worried that the precious Chingy constituency would be confused... https://t.co/pw9kYIyonj,MA
RT @NBCNightlyNews: Donald Trump says he could 'shoot somebody' and still maintain support https://t.co/wHEJPB4tTE https://t.co/8RyR17MXej,MI
@ramonashelburne @amychozick @HillaryClinton First Stick Man!,CA
"RT @darth: things i like about ted cruz:

1) he is right about ethanol

2) he is canadian so probably likes poutine

that might be it tbh",DE
"RT @ebethcheese: Finally a Republican candidate I could vote for. What say you, Richard Bracken? https://t.co/GfRGSRxwBx",CO
RT @bernie_pdx: Small biz owner Nick Krautter on the many reasons why #Bernie2016 is good 4 business! #MarchForBernie #FeelTheBern https://…,PA
"This is the USA
We do not elect Cuban Canadians
 #TedCruz can go home

#DontEvenWantToSeeHisBirthCertificate https://t.co/32QAxjcSy3",AZ
Now that's someone I want to be leader of the free world. https://t.co/DXbhoOVP72,FL
The second of the three stupidest things I've read today.  https://t.co/8s2WJZs6iu,NY
"Kelleigh Nelson -- Ted Cruz, Henry Kissinger and The Globalists https://t.co/tQcy1hyDK4 via @sharethis",MD
@MommyUnit @NoahGrayCNN @realDonaldTrump please tell me this is a sick joke...,WA
"If anyone can watch the movie 13 hours and still vote for Hillary Clinton, I have no respect for you",MS
National Review’s Unwise Trump Excommunication https://t.co/JC5NFbeEUr via @LifeZette,LA
"So based on his latest comment, I'm 100% convinced Trump is the evil Biff from BacktoFuture2. I already felt that way but it's confirmed now",TN
Reminder: A president can launch nuclear weapons.  https://t.co/oSJGEoqUYc,WA
"RT @boOdyabdOo1: BUSTED: No wonder @marklevinshow supports @tedcruz his. Mark Levin's fiancee's son works for Ted Cruz
https://t.co/WMR8JLZ…",DE
